ID,Type,Name,Price,Link,Primary Color,Color Label
SP024,Shirt,Denim Shirt,430.000 VND,Shirt/SP024.jpg,Slate Blue,"Slate Blue, Gray"
SP025,Shirt,Mandarin Collar Shirt,325.000 VND,Shirt/SP025.jpg,Blue,"Blue, White"
SP026,Shirt,Denim Shirt,535.000 VND,Shirt/SP026.jpg,White,"White, Black"
SP027,Shirt,Relaxed Fit Shirt,455.000 VND,Shirt/SP027.jpg,Black,"Black, White"
SP028,Shirt,Denim Shirt,725.000 VND,Shirt/SP028.jpg,Gray,"Gray, Blue"
SP029,Shirt,Striped Button-Up Shirt,795.000 VND,Shirt/SP029.jpg,Brown,"Brown, Black"
SP030,Shirt,Slim Fit Dress Shirt,285.000 VND,Shirt/SP030.jpg,Light Blue,"Light Blue, Navy Blue"
SP031,Shirt,Chambray Shirt,615.000 VND,Shirt/SP031.jpg,Navy Blue,"Navy Blue, White"
SP032,Shirt,Oversized Flannel Shirt,585.000 VND,Shirt/SP032.jpg,Navy Blue,"Navy Blue, White"
SP033,Shirt,Striped Button-Up Shirt,395.000 VND,Shirt/SP033.jpg,Black,"Black, Tan"
SP034,Shirt,Relaxed Fit Shirt,420.000 VND,Shirt/SP034.jpg,Charcoal Gray,"Charcoal Gray, Black"
SP035,Shirt,Denim Shirt,750.000 VND,Shirt/SP035.jpg,Beige,"Beige, Multicolor"
SP036,Shirt,Polo Shirt,265.000 VND,Shirt/SP036.jpg,Beige,"Beige, Black"
SP037,Shirt,Denim Shirt,750.000 VND,Shirt/SP037.jpg,White,"White, Beige"
SP038,Shirt,Slim Fit Dress Shirt,410.000 VND,Shirt/SP038.jpg,Gray,"Gray, Black"
SP039,Shirt,Mock Neck Shirt,495.000 VND,Shirt/SP039.jpg,Black,"Black, White"
SP040,Shirt,Graphic Tee Shirt,620.000 VND,Shirt/SP040.jpg,Pink,"Pink, White"
SP041,Shirt,Utility Shirt,280.000 VND,Shirt/SP041.jpg,Black,"Black, Orange"
SP042,Shirt,Relaxed Fit Shirt,705.000 VND,Shirt/SP042.jpg,Pink,"Pink, White"
SP043,Shirt,Henley Shirt,170.000 VND,Shirt/SP043.jpg,White,"White, Brown"
SP044,Shirt,Classic Oxford Shirt,330.000 VND,Shirt/SP044.jpg,Yellow,"Yellow, Orange"
SP045,Shirt,Hawaiian Print Shirt,515.000 VND,Shirt/SP045.jpg,Cream,"Cream, Multi-Color"
SP046,Shirt,Denim Shirt,380.000 VND,Shirt/SP046.jpg,White,"White, Black"
SP047,Shirt,Polo Shirt,625.000 VND,Shirt/SP047.jpg,Black,"Black, White"
SP048,Shirt,Henley Shirt,230.000 VND,Shirt/SP048.jpg,Chocolate Brown,"Chocolate Brown, Beige"
SP049,Shirt,Slim Fit Dress Shirt,435.000 VND,Shirt/SP049.jpg,Cream,"Cream, White"
SP050,Shirt,Slim Fit Dress Shirt,540.000 VND,Shirt/SP050.jpg,White,"White, Black"
SP051,Shirt,Graphic Tee Shirt,390.000 VND,Shirt/SP051.jpg,Black,"Black, Brown"
SP052,Shirt,Classic Oxford Shirt,275.000 VND,Shirt/SP052.jpg,Brown,"Brown, White"
SP053,Shirt,Classic Oxford Shirt,795.000 VND,Shirt/SP053.jpg,Navy Blue,"Navy Blue, Green"
SP054,Shirt,Mandarin Collar Shirt,725.000 VND,Shirt/SP054.jpg,Black,"Black, Red"
SP055,Shirt,Striped Button-Up Shirt,445.000 VND,Shirt/SP055.jpg,Black,"Black, Multi-color"
SP056,Shirt,Denim Shirt,760.000 VND,Shirt/SP056.jpg,Olive Green,"Olive Green, Olive Green"
SP057,Shirt,Chambray Shirt,455.000 VND,Shirt/SP057.jpg,Black,"Black, White"
SP058,Shirt,Chambray Shirt,495.000 VND,Shirt/SP058.jpg,White,"White, Black"
SP059,Shirt,Utility Shirt,745.000 VND,Shirt/SP059.jpg,Brown,"Brown, White"
SP060,Shirt,Mandarin Collar Shirt,580.000 VND,Shirt/SP060.jpg,Cream,"Cream, Multi-Color"
SP061,Shirt,Mandarin Collar Shirt,355.000 VND,Shirt/SP061.jpg,Brown,"Brown, Tan"
SP062,Shirt,Polo Shirt,455.000 VND,Shirt/SP062.jpg,Black,"Black, Pink"
SP063,Shirt,Denim Shirt,480.000 VND,Shirt/SP063.jpg,Pink,"Pink, Black"
SP064,Shirt,Striped Button-Up Shirt,220.000 VND,Shirt/SP064.jpg,Brown,"Brown, White"
SP065,Shirt,Mandarin Collar Shirt,165.000 VND,Shirt/SP065.jpg,Brown,"Brown, White"
SP066,Shirt,Polo Shirt,220.000 VND,Shirt/SP066.jpg,Black,"Black, Red"
SP067,Shirt,Slim Fit Dress Shirt,580.000 VND,Shirt/SP067.jpg,Gray,"Gray, Light Gray"
SP068,Shirt,Mock Neck Shirt,240.000 VND,Shirt/SP068.jpg,White,"White, Black"
SP069,Shirt,Henley Shirt,625.000 VND,Shirt/SP069.jpg,Black,"Black, White"
SP070,Shirt,Henley Shirt,760.000 VND,Shirt/SP070.jpg,Olive Green,"Olive Green, White"
SP071,Shirt,Striped Button-Up Shirt,590.000 VND,Shirt/SP071.jpg,Light Pink,"Light Pink, Black"
SP072,Shirt,Mock Neck Shirt,240.000 VND,Shirt/SP072.jpg,Brown,"Brown, White"
SP073,Shirt,Utility Shirt,670.000 VND,Shirt/SP073.jpg,Rust Brown,"Rust Brown, Black"
SP074,Shirt,Casual Linen Shirt,490.000 VND,Shirt/SP074.jpg,Sage Green,"Sage Green, Beige"
SP075,Shirt,Hawaiian Print Shirt,540.000 VND,Shirt/SP075.jpg,Dark Olive Green,"Dark Olive Green, Gray"
SP076,Shirt,Denim Shirt,195.000 VND,Shirt/SP076.jpg,Light Blue,"Light Blue, Denim"
SP077,Shirt,Polo Shirt,710.000 VND,Shirt/SP077.jpg,White,"White, Blue"
SP078,Shirt,Chambray Shirt,415.000 VND,Shirt/SP078.jpg,Black,"Black, White"
SP079,Shirt,Slim Fit Dress Shirt,160.000 VND,Shirt/SP079.jpg,Burgundy,"Burgundy, Black"
SP080,Shirt,Denim Shirt,625.000 VND,Shirt/SP080.jpg,Navy Blue,"Navy Blue, White"
SP081,Pant,Relaxed Fit Jeans,530.000 VND,Pant/SP081.jpg,Gray,"Gray, Blue"
SP082,Pant,Wide Leg Trousers,985.000 VND,Pant/SP082.jpg,Rust Red,"Rust Red, Burgundy"
SP083,Pant,Slim Cut Chinos,740.000 VND,Pant/SP083.jpg,Black,"Black, Beige"
SP084,Pant,Pleated Dress Pants,895.000 VND,Pant/SP084.jpg,Black,"Black, White"
SP085,Pant,Cropped Linen Pants,1.020.000 VND,Pant/SP085.jpg,Black,"Black, White"
SP086,Pant,Relaxed Cargo Pants,1.100.000 VND,Pant/SP086.jpg,Black,"Black, Gray"
SP087,Pant,Slim Fit Chinos,345.000 VND,Pant/SP087.jpg,Beige,"Beige, Navy Blue"
SP088,Pant,Utility Cargo Pants,395.000 VND,Pant/SP088.jpg,White,"White, Multi-Color"
SP089,Pant,Utility Cargo Pants,1.175.000 VND,Pant/SP089.jpg,Teal,"Teal, Beige"
SP090,Pant,Slim Fit Chinos,555.000 VND,Pant/SP090.jpg,Cream,"Cream, White"
SP091,Pant,Slim Fit Chinos,1.120.000 VND,Pant/SP091.jpg,Camouflage Green,"Camouflage Green, White"
SP092,Pant,Formal Suit Trousers,240.000 VND,Pant/SP092.jpg,Brown,"Brown, White"
SP093,Pant,Straight Leg Jeans,255.000 VND,Pant/SP093.jpg,Pink,"Pink, White"
SP094,Pant,Cropped Linen Pants,1.030.000 VND,Pant/SP094.jpg,Black,"Black, Red"
SP095,Pant,Classic Dress Trousers,605.000 VND,Pant/SP095.jpg,Pink,"Pink, Black"
SP096,Pant,Pleated Dress Pants,710.000 VND,Pant/SP096.jpg,Black,"Black, Orange"
SP097,Pant,Straight Leg Jeans,285.000 VND,Pant/SP097.jpg,Cream,"Cream, Multi-color"
SP098,Pant,Slim Cut Chinos,845.000 VND,Pant/SP098.jpg,Navy Blue,"Navy Blue, White"
SP099,Pant,Slim Fit Chinos,1.135.000 VND,Pant/SP099.jpg,Red,"Red, White"
SP100,Pant,Stretch Slim Pants,530.000 VND,Pant/SP100.jpg,Dark Green,"Dark Green, Black"
SP101,Pant,Drawstring Casual Pants,985.000 VND,Pant/SP101.jpg,Black,"Black, Multicolor"
SP102,Pant,Drawstring Casual Pants,505.000 VND,Pant/SP102.jpg,Blue,"Blue, White"
SP103,Pant,High Waist Trousers,1.015.000 VND,Pant/SP103.jpg,Gray,"Gray, White"
SP104,Pant,Wide Leg Trousers,930.000 VND,Pant/SP104.jpg,Multicolor,"Multicolor, Orange"
SP105,Pant,Slim Cut Chinos,1.070.000 VND,Pant/SP105.jpg,Multicolor,"Multicolor, Patchwork"
SP106,Pant,Utility Cargo Pants,995.000 VND,Pant/SP106.jpg,Orange,"Orange, Turquoise"
SP107,Pant,Relaxed Fit Jeans,1.045.000 VND,Pant/SP107.jpg,Cream,"Cream, Black"
SP108,Pant,Straight Leg Jeans,970.000 VND,Pant/SP108.jpg,Pink,"Pink, Black"
SP109,Pant,Classic Dress Trousers,420.000 VND,Pant/SP109.jpg,Black,"Black, Beige"
SP110,Pant,Classic Dress Trousers,1.070.000 VND,Pant/SP110.jpg,Black,"Black, White"
SP111,Pant,Pleated Dress Pants,1.100.000 VND,Pant/SP111.jpg,White,"White, Multicolor"
SP112,Pant,Utility Cargo Pants,835.000 VND,Pant/SP112.jpg,Multicolor,"Multicolor, Black"
SP113,Pant,High Waist Trousers,815.000 VND,Pant/SP113.jpg,Black,"Black, Tan"
SP114,Pant,High Waist Trousers,1.110.000 VND,Pant/SP114.jpg,Orange,"Orange, Brown"
SP115,Pant,Tapered Jogger Pants,835.000 VND,Pant/SP115.jpg,Charcoal Black,"Charcoal Black, White"
SP116,Pant,Utility Cargo Pants,895.000 VND,Pant/SP116.jpg,Black,"Black, Yellow"
SP117,Pant,Classic Dress Trousers,825.000 VND,Pant/SP117.jpg,Black,"Black, Multi-Color"
SP118,Pant,Drawstring Casual Pants,790.000 VND,Pant/SP118.jpg,Brown,"Brown, Cream"
SP119,Pant,Utility Cargo Pants,1.155.000 VND,Pant/SP119.jpg,Black,"Black, Green"
SP120,Pant,Formal Suit Trousers,480.000 VND,Pant/SP120.jpg,Black,"Black, White"
SP121,Pant,Pleated Dress Pants,735.000 VND,Pant/SP121.jpg,Purple,"Purple, Green"
SP122,Pant,Stretch Slim Pants,1.015.000 VND,Pant/SP122.jpg,White,"White, Black"
SP123,Pant,Cropped Linen Pants,765.000 VND,Pant/SP123.jpg,Tan,"Tan, White"
SP124,Pant,Stretch Slim Pants,915.000 VND,Pant/SP124.jpg,Red,"Red, Black"
SP125,Pant,Drawstring Casual Pants,425.000 VND,Pant/SP125.jpg,Black,"Black, White"
SP126,Pant,Stretch Slim Pants,530.000 VND,Pant/SP126.jpg,Light Blue,"Light Blue, Black"
SP127,Pant,Stretch Slim Pants,940.000 VND,Pant/SP127.jpg,Beige,"Beige, Black"
SP128,Pant,Relaxed Fit Jeans,860.000 VND,Pant/SP128.jpg,Navy Blue,"Navy Blue, White"
SP129,Pant,Relaxed Fit Jeans,1.145.000 VND,Pant/SP129.jpg,Black,"Black, White"
SP130,Pant,Pleated Dress Pants,380.000 VND,Pant/SP130.jpg,Black,"Black, Orange"
SP131,Pant,Wide Leg Trousers,510.000 VND,Pant/SP131.jpg,Navy Blue,"Navy Blue, White"
SP132,Pant,High Waist Trousers,500.000 VND,Pant/SP132.jpg,Light Blue,"Light Blue, Navy Blue"
SP133,Pant,Drawstring Casual Pants,1.195.000 VND,Pant/SP133.jpg,Black,"Black, White"
SP134,Pant,Pleated Dress Pants,715.000 VND,Pant/SP134.jpg,Black,"Black, Brown"
SP135,Pant,Slim Cut Chinos,250.000 VND,Pant/SP135.jpg,Black,"Black, Silver"
SP136,Pant,Utility Cargo Pants,655.000 VND,Pant/SP136.jpg,Black,"Black, Yellow"
SP137,Pant,Wide Leg Trousers,490.000 VND,Pant/SP137.jpg,Olive Green,"Olive Green, Gray"
SP138,Pant,Stretch Slim Pants,945.000 VND,Pant/SP138.jpg,Coral,"Coral, Light Blue"
SP139,Pant,Formal Suit Trousers,1.160.000 VND,Pant/SP139.jpg,Navy Blue,"Navy Blue, Red"
SP140,Pant,Straight Leg Jeans,795.000 VND,Pant/SP140.jpg,Cream White,"Cream White, Beige"
SP141,Pant,Cropped Linen Pants,655.000 VND,Pant/SP141.jpg,Light Blue,"Light Blue, Gray"
SP142,Pant,Drawstring Casual Pants,675.000 VND,Pant/SP142.jpg,Black,"Black, White"
SP143,Pant,Relaxed Cargo Pants,795.000 VND,Pant/SP143.jpg,Red,"Red, Black"
SP144,Pant,Drawstring Casual Pants,770.000 VND,Pant/SP144.jpg,Burgundy,"Burgundy, Black"
SP145,Pant,Drawstring Casual Pants,1.060.000 VND,Pant/SP145.jpg,Multicolor,"Multicolor, Striped"
SP146,Pant,Classic Dress Trousers,1.000.000 VND,Pant/SP146.jpg,Brown,"Brown, White"
SP147,Pant,Slim Fit Chinos,250.000 VND,Pant/SP147.jpg,Mauve,"Mauve, Gray"
SP148,Pant,Classic Dress Trousers,435.000 VND,Pant/SP148.jpg,Olive Green,"Olive Green, White"
SP149,Pant,Cropped Linen Pants,800.000 VND,Pant/SP149.jpg,Navy Blue,"Navy Blue, White"
SP150,Pant,Drawstring Casual Pants,375.000 VND,Pant/SP150.jpg,Olive Green,"Olive Green, Black"
SP151,Pant,Pleated Dress Pants,1.120.000 VND,Pant/SP151.jpg,Denim Blue,"Denim Blue, Silver"
SP152,Pant,Cropped Linen Pants,405.000 VND,Pant/SP152.jpg,Cream,"Cream, Red"
SP153,Pant,Utility Cargo Pants,215.000 VND,Pant/SP153.jpg,Brown,"Brown, Tan"
SP154,Pant,Relaxed Cargo Pants,1.035.000 VND,Pant/SP154.jpg,Dark Gray,"Dark Gray, White"
SP155,Pant,Relaxed Fit Jeans,1.065.000 VND,Pant/SP155.jpg,Black,"Black, White"
SP156,Pant,Cropped Linen Pants,310.000 VND,Pant/SP156.jpg,Brown,"Brown, Black"
SP157,Pant,Pleated Dress Pants,1.035.000 VND,Pant/SP157.jpg,White,"White, Black"
SP158,Pant,Wide Leg Trousers,765.000 VND,Pant/SP158.jpg,Beige,"Beige, Cream"
SP159,Pant,Pleated Dress Pants,880.000 VND,Pant/SP159.jpg,Gray,"Gray, White"
SP160,Pant,Classic Dress Trousers,870.000 VND,Pant/SP160.jpg,Dark Brown,"Dark Brown, White"
SP161,Dress,Bodycon Mini Dress,1.035.000 VND,Dress/SP161.jpg,Olive Green,"Olive Green, Black"
SP162,Dress,Pleated Sundress,975.000 VND,Dress/SP162.jpg,Leopard Print,"Brown, Black"
SP163,Dress,A-Line Day Dress,1.145.000 VND,Dress/SP163.jpg,Black,"Black, Sheer Black"
SP164,Dress,Elegant Evening Gown,1.285.000 VND,Dress/SP164.jpg,Rose Gold,"Rose Gold, Beige"
SP165,Dress,Off Shoulder Dress,1.995.000 VND,Dress/SP165.jpg,Coral Orange,"Coral Orange, Peach"
SP166,Dress,Elegant Evening Gown,1.615.000 VND,Dress/SP166.jpg,White,"White, Gold"
SP167,Dress,Shirt Dress,1.065.000 VND,Dress/SP167.jpg,White,"White, White"
SP168,Dress,Ruffle Hem Dress,1.655.000 VND,Dress/SP168.jpg,Black,Black
SP169,Dress,Casual Wrap Dress,1.750.000 VND,Dress/SP169.jpg,Black,"Black, Gold"
SP170,Dress,Ruffle Hem Dress,455.000 VND,Dress/SP170.jpg,Navy Blue,"Navy Blue, Pink"
SP171,Dress,Ruffle Hem Dress,1.510.000 VND,Dress/SP171.jpg,Red,"Red, White"
SP172,Dress,Bodycon Mini Dress,1.635.000 VND,Dress/SP172.jpg,Cream,"Cream, Light Blue"
SP173,Dress,Shirt Dress,525.000 VND,Dress/SP173.jpg,Black,"Black, Nude"
SP174,Dress,Pleated Sundress,1.080.000 VND,Dress/SP174.jpg,Orange,"Orange, Multi-color"
SP175,Dress,Elegant Evening Gown,295.000 VND,Dress/SP175.jpg,White,"White, Cream"
SP176,Dress,Smocked Floral Dress,1.435.000 VND,Dress/SP176.jpg,Navy Blue,"Navy Blue, Navy Blue"
SP177,Dress,Casual Wrap Dress,960.000 VND,Dress/SP177.jpg,Brown,"Brown, Pink"
SP178,Dress,Floral Midi Dress,965.000 VND,Dress/SP178.jpg,Brown,"Brown, Black"
SP179,Dress,Bodycon Mini Dress,1.755.000 VND,Dress/SP179.jpg,Navy Blue,"Navy Blue, Beige"
SP180,Dress,Boho Maxi Dress,1.225.000 VND,Dress/SP180.jpg,Black,"Black, White"
SP181,Dress,A-Line Day Dress,1.390.000 VND,Dress/SP181.jpg,Pale Yellow,"Pale Yellow, Cream"
SP182,Dress,Knit Sweater Dress,1.405.000 VND,Dress/SP182.jpg,Pink,"Pink, Purple"
SP183,Dress,Satin Slip Dress,1.870.000 VND,Dress/SP183.jpg,White,"White, Blue"
SP184,Dress,Pleated Sundress,1.725.000 VND,Dress/SP184.jpg,Camel,"Camel, White"
SP185,Dress,Lace Cocktail Dress,1.770.000 VND,Dress/SP185.jpg,Brown,"Brown, Brown"
SP186,Dress,A-Line Day Dress,1.210.000 VND,Dress/SP186.jpg,Magenta,"Magenta, Mint Green"
SP187,Dress,Asymmetric Hem Dress,1.465.000 VND,Dress/SP187.jpg,Light Blue,"Light Blue, White"
SP188,Dress,Asymmetric Hem Dress,1.685.000 VND,Dress/SP188.jpg,Beige,"Beige, Gold"
SP189,Dress,Shirt Dress,1.575.000 VND,Dress/SP189.jpg,Black,"Black, White"
SP190,Dress,Asymmetric Hem Dress,410.000 VND,Dress/SP190.jpg,White,"White, Black"
SP191,Dress,Bodycon Mini Dress,700.000 VND,Dress/SP191.jpg,Cream,"Cream, Beige"
SP192,Dress,Smocked Floral Dress,1.765.000 VND,Dress/SP192.jpg,Black,"Black, White"
SP193,Dress,Satin Slip Dress,1.265.000 VND,Dress/SP193.jpg,Black,Black
SP194,Dress,Casual Wrap Dress,1.875.000 VND,Dress/SP194.jpg,Pink,"Pink, Pink"
SP195,Dress,Smocked Floral Dress,1.890.000 VND,Dress/SP195.jpg,Burgundy,"Burgundy, Brown"
SP196,Dress,Pleated Sundress,665.000 VND,Dress/SP196.jpg,Black,"Black, Black"
SP197,Dress,Pleated Sundress,525.000 VND,Dress/SP197.jpg,Cream,"Cream, White"
SP198,Dress,Boho Maxi Dress,260.000 VND,Dress/SP198.jpg,Cream,"Cream, Gold"
SP199,Dress,Knit Sweater Dress,1.065.000 VND,Dress/SP199.jpg,White,"White, Orange"
SP200,Dress,Knit Sweater Dress,1.645.000 VND,Dress/SP200.jpg,Cream,"Cream, White"
SP201,Dress,Floral Midi Dress,390.000 VND,Dress/SP201.jpg,Pink,"Pink, White"
SP202,Dress,Casual Wrap Dress,965.000 VND,Dress/SP202.jpg,Chartreuse Green,Chartreuse Green
SP203,Dress,Bodycon Mini Dress,1.530.000 VND,Dress/SP203.jpg,Teal,"Teal, Black"
SP204,Dress,Elegant Evening Gown,960.000 VND,Dress/SP204.jpg,Navy Blue,"Navy Blue, White"
SP205,Dress,Lace Cocktail Dress,1.670.000 VND,Dress/SP205.jpg,Black,Black
SP206,Dress,Smocked Floral Dress,555.000 VND,Dress/SP206.jpg,Black,"Black, White"
SP207,Dress,Pleated Sundress,760.000 VND,Dress/SP207.jpg,Burgundy Red,"Burgundy Red, White"
SP208,Dress,Lace Cocktail Dress,1.510.000 VND,Dress/SP208.jpg,Black,"Black, Black"
SP209,Dress,Lace Cocktail Dress,1.295.000 VND,Dress/SP209.jpg,Brown,"Brown, White"
SP210,Dress,Asymmetric Hem Dress,1.025.000 VND,Dress/SP210.jpg,Red,"Red, White"
SP211,Dress,Off Shoulder Dress,465.000 VND,Dress/SP211.jpg,Black,"Black, Pink"
SP212,Dress,Satin Slip Dress,1.410.000 VND,Dress/SP212.jpg,Navy Blue,"Navy Blue, Green"
SP213,Dress,Elegant Evening Gown,1.815.000 VND,Dress/SP213.jpg,White,"White, Multicolor"
SP214,Dress,Smocked Floral Dress,380.000 VND,Dress/SP214.jpg,Blue,"Blue, White"
SP215,Dress,Lace Cocktail Dress,1.800.000 VND,Dress/SP215.jpg,Cream,"Cream, White"
SP216,Dress,Knit Sweater Dress,1.565.000 VND,Dress/SP216.jpg,Ivory,"Ivory, Cream"
SP217,Dress,Floral Midi Dress,1.645.000 VND,Dress/SP217.jpg,Navy Blue,"Navy Blue, Black"
SP218,Dress,Boho Maxi Dress,1.970.000 VND,Dress/SP218.jpg,Light Blue,"Light Blue, Light Blue"
SP219,Dress,Lace Cocktail Dress,820.000 VND,Dress/SP219.jpg,Black,"Black, White"
SP220,Dress,Elegant Evening Gown,295.000 VND,Dress/SP220.jpg,Burgundy,"Burgundy, Maroon"
SP221,Dress,Casual Wrap Dress,440.000 VND,Dress/SP221.jpg,Light Blue,"Light Blue, White"
SP222,Dress,Pleated Sundress,985.000 VND,Dress/SP222.jpg,Grey,"Grey, White"
SP223,Dress,Smocked Floral Dress,1.400.000 VND,Dress/SP223.jpg,Black,"Black, Black"
SP224,Dress,Smocked Floral Dress,505.000 VND,Dress/SP224.jpg,Black,"Black, Silver"
SP225,Dress,Knit Sweater Dress,1.705.000 VND,Dress/SP225.jpg,Black,"Black, Black"
SP226,Dress,Floral Midi Dress,1.855.000 VND,Dress/SP226.jpg,Red,"Red, White"
SP227,Dress,Casual Wrap Dress,360.000 VND,Dress/SP227.jpg,Black,"Black, Black"
SP228,Dress,Off Shoulder Dress,620.000 VND,Dress/SP228.jpg,Beige,"Beige, Cream"
SP229,Dress,Boho Maxi Dress,1.805.000 VND,Dress/SP229.jpg,Black,Black
SP230,Dress,Smocked Floral Dress,1.315.000 VND,Dress/SP230.jpg,White,"White, Black"
SP231,Dress,Pleated Sundress,1.375.000 VND,Dress/SP231.jpg,Light Gray,"Light Gray, White"
SP232,Dress,Asymmetric Hem Dress,795.000 VND,Dress/SP232.jpg,Black,"Black, White"
SP233,Dress,Asymmetric Hem Dress,1.925.000 VND,Dress/SP233.jpg,Black,"Black, White"
SP234,Dress,Pleated Sundress,1.860.000 VND,Dress/SP234.jpg,White,"White, Black"
SP235,Dress,Knit Sweater Dress,1.255.000 VND,Dress/SP235.jpg,White,"White, White"
SP236,Dress,Ruffle Hem Dress,1.845.000 VND,Dress/SP236.jpg,Cream,"Cream, White"
SP237,Dress,Shirt Dress,1.050.000 VND,Dress/SP237.jpg,White,"White, Black"
SP238,Dress,Pleated Sundress,1.405.000 VND,Dress/SP238.jpg,Black,"Black, Black"
SP239,Dress,Floral Midi Dress,890.000 VND,Dress/SP239.jpg,Pink,"Pink, Light Pink"
SP240,Dress,Bodycon Mini Dress,1.735.000 VND,Dress/SP240.jpg,Pink,"Pink, White"
SP241,Outerwear,Tailored Blazer,1.950.000 VND,Outerwear/SP241.jpg,Medium Blue Denim,"Medium Blue Denim, Light Blue"
SP242,Outerwear,Fleece Zip Jacket,1.105.000 VND,Outerwear/SP242.jpg,Beige,"Beige, Tan"
SP243,Outerwear,Tailored Blazer,770.000 VND,Outerwear/SP243.jpg,Dark Brown,"Dark Brown, Black"
SP244,Outerwear,Quilted Vest,1.175.000 VND,Outerwear/SP244.jpg,Olive Brown,"Olive Brown, Dark Brown"
SP245,Outerwear,Puffer Down Jacket,1.480.000 VND,Outerwear/SP245.jpg,Taupe,"Taupe, Brown"
SP246,Outerwear,Wool Blend Overcoat,860.000 VND,Outerwear/SP246.jpg,Camel,"Camel, White"
SP247,Outerwear,Tailored Blazer,1.750.000 VND,Outerwear/SP247.jpg,Olive Green,"Olive Green, Dark Brown"
SP248,Outerwear,Camel Wrap Coat,2.235.000 VND,Outerwear/SP248.jpg,Light Gray,"Light Gray, Red"
SP249,Outerwear,Leather Biker Jacket,2.530.000 VND,Outerwear/SP249.jpg,Dark Brown,"Dark Brown, Black"
SP250,Outerwear,Sherpa Lined Jacket,1.090.000 VND,Outerwear/SP250.jpg,Beige,"Beige, Tan"
SP251,Outerwear,Sherpa Lined Jacket,1.035.000 VND,Outerwear/SP251.jpg,Black,Black
SP252,Outerwear,Sherpa Lined Jacket,1.710.000 VND,Outerwear/SP252.jpg,Charcoal Gray,"Charcoal Gray, Black"
SP253,Outerwear,Sherpa Lined Jacket,1.830.000 VND,Outerwear/SP253.jpg,Charcoal Gray,"Charcoal Gray, Silver"
SP254,Outerwear,Classic Trench Coat,530.000 VND,Outerwear/SP254.jpg,Charcoal Gray,"Charcoal Gray, Black"
SP255,Outerwear,Classic Trench Coat,2.125.000 VND,Outerwear/SP255.jpg,Charcoal Gray,"Charcoal Gray, Black"
SP256,Outerwear,Tailored Blazer,2.780.000 VND,Outerwear/SP256.jpg,Beige,"Beige, Tan"
SP257,Outerwear,Camel Wrap Coat,1.150.000 VND,Outerwear/SP257.jpg,Beige,"Beige, White"
SP258,Outerwear,Longline Wool Coat,745.000 VND,Outerwear/SP258.jpg,Black,"Black, Black"
SP259,Outerwear,Quilted Vest,2.550.000 VND,Outerwear/SP259.jpg,Olive Green,"Olive Green, Black"
SP260,Outerwear,Quilted Vest,1.465.000 VND,Outerwear/SP260.jpg,Teal Blue,"Teal Blue, Silver"
